fiscal_year,Query_Run,SubCustomer,ServicesCategory,SumOfobligatedAmount,SumOfnumberOfActions
2010,04:31.0,DLA,PAMS,337213898,2106
2011,04:31.0,Other DoD,R&D,2197819193,4544
1994,04:31.0,Other DoD,PAMS,417153468,957
1991,04:31.0,DLA,ICT,57446000,NULL
2005,04:31.0,MilitaryHealth,PAMS,3054324,16
1988,04:31.0,Navy,PAMS,283000,NULL
2001,04:31.0,Navy,R&D,5506222831,8512
2007,04:31.0,DLA,ERS,163093671.4,5731
2012,04:31.0,MilitaryHealth,Products,47877448.5,1384
1999,04:31.0,Air Force,Products,15366090314,21900
1988,04:31.0,Navy,FRS&C,661000,NULL
1997,04:31.0,Navy,MED,209496196,619
2014,04:31.0,Army,FRS&C,20303234581,67964
1998,04:31.0,MDA,Products,2668646,12
1991,04:31.0,Air Force,PAMS,4190173000,NULL
2010,04:31.0,MilitaryHealth,Products,2569695.53,52
1998,04:31.0,Navy,ERS,4386694615,6845
1991,04:31.0,Army,ICT,754883000,NULL
2013,04:31.0,Navy,ERS,6590497617,32836
2006,04:31.0,Air Force,PAMS,11988903897,24646
1992,04:31.0,Navy,Fuel,4809901,1
2004,04:31.0,MDA,ICT,26525768.62,50
2006,04:31.0,Army,ICT,2231461157,13454
2009,04:31.0,Other DoD,PAMS,4126045776,12982
1996,04:31.0,Navy,Products,14302029615,22914
2010,04:31.0,Air Force,PAMS,11226642728,33956
2003,04:31.0,MilitaryHealth,PAMS,735518,28
2010,04:31.0,Army,PAMS,32534373818,84152
1989,04:31.0,Army,MED,51000,NULL
2006,04:31.0,Air Force,NULL,0,NULL
1997,04:31.0,Other DoD,FRS&C,165253195,262
2000,04:31.0,MDA,Products,407995,3
2002,04:31.0,Other DoD,ERS,308997935.2,657
2002,04:31.0,Other DoD,Products,1422035956,6449
2006,04:31.0,DLA,ICT,630215452.5,3455
2014,04:31.0,DLA,FRS&C,972893062.3,12824
2007,04:31.0,Army,ERS,3687874984,26394
1990,04:31.0,Other DoD,MED,638614000,NULL
2004,04:31.0,Navy,ICT,3670711378,24353
2003,04:31.0,Other DoD,MED,3612787,12
2001,04:31.0,MilitaryHealth,MED,2346504288,329
2003,04:31.0,Air Force,ERS,4004113152,5112
1988,04:31.0,Navy,R&D,459000,NULL
