ParentID	FiscalYear	ObligatedAmount	ObligatedAmountIsSmall	PercentIsSmall	LargeGreaterThan3B	MaxOfAnyIsSmall	MinOfAnyIsSmall	MaxOfIsOnePercentPlusSmall	MinOfIsOnePercentPlusSmall	MaxOfAlwaysIsSmall	MinOfAlwaysIsSmall
BULL HN INFORM	1998	49305690	2272587	0.046091	0	1	0	1	0	0	0
THERMACORE	2015	284559.25	284559.25	1	0	1	1	1	1	1	1
EASTMAN KODAK	2007	18329099.15	21479.8	0.001171	0	1	0	1	0	0	0
TURNER BROADCA	2012	60000	0	0	0	0	0	0	0	0	0
WORLDCOM [VERIZON]	2006	11703.66	0	0	1	0	0	0	0	0	0
POPULATION SERVICES INTERNATIONAL	2009	17309090	0	0	0	0	0	0	0	0	0
SRS TECHNOLOGIES	2010	163896346.6	436165.59	0.002661	0	1	1	1	0	1	0
BRITISH TELECOMMUNICATIONS	2012	24908366.4	0	0	1	0	0	0	0	0	0
LITTON [NORTHROP GRUMMAN]	2006	7597372.57	0	0	1	0	0	0	0	0	0
LIRBY	2001	25000	25000	1	0	1	1	1	1	1	1
THE HAPAK COMPANIES	2003	41699	41699	1	0	1	1	1	1	1	1
CMP DEVELOPMENT	2010	8622.25	0	0	0	0	0	0	0	0	0
ROYAL DUTCH SHELL	2000	265247040	0	0	1	0	0	0	0	0	0
HAMPDEN ENGINE	2004	364491	233973	0.641917	0	1	1	1	1	0	0
CAL WESTERN PACKAGING	2009	88801526.09	88801526.09	1	0	1	1	1	1	1	1
JER PARTNERS	2006	59826	59826	1	0	1	1	1	1	1	1
IN Q TEL	2001	1583617	1583617	1	0	1	1	1	1	1	1
GEORGE WASHINGTON UNIVERSITY	1994	3594575	41750	0.011614	0	1	0	1	0	1	0
CITY OF WORCEST	2003	8639	0	0	0	0	0	0	0	0	0
SUPERIOR WASTE	2001	97000	97000	1	0	1	1	1	1	1	1
ROY ANDERSON HOLDING	2001	12382018	0	0	0	0	0	0	0	0	0
ULTRA ELECTRONICS HOLDINGS PLC	2011	7822797.2	3164262.41	0.404492	0	1	0	1	0	1	0
TURNER BROADCA	2015	147464.53	0	0	0	0	0	0	0	0	0
MICHAEL BAKER	2004	102174140.8	3128203.08	0.030616	0	1	0	1	0	0	0
UNIVERSITY OF TEXAS	2003	142434187.6	59909	0.00042	0	1	0	1	0	0	0
SUNTORY INTERNATIONAL	2001	25927	0	0	0	0	0	0	0	0	0
ALL CITIES CONSTR & FENCE	2006	61976373.59	59047962.59	0.952749	0	1	1	1	1	1	0
NATIONAL ACADEMY OF PUBLIC	2000	1938000	339000	0.174922	0	1	1	1	1	0	0
THERMACORE	2012	367548	367548	1	0	1	1	1	1	1	1
POPULATION SERVICES INTERNATIONAL	2006	35000	0	0	0	0	0	0	0	0	0
NIPPON SANSO	2012	3248713.81	0	0	0	1	1	0	0	0	0
CASELLA WASTE MANAGEMENT	2000	54271	48000	0.88445	0	1	1	1	1	1	0
FISHER SCIENTIFIC CO	2004	2221968.21	213152.89	0.095929	0	1	0	1	0	0	0
SOUTHWESTERN ELECTRIC	2007	4106418.65	0	0	0	0	0	0	0	0	0
ROY ANDERSON HOLDING	2004	27836921.5	0	0	0	0	0	0	0	0	0
R LEWIS &	2001	749573	749573	1	0	1	1	1	1	1	1
RONCO	2006	657064.75	621837.55	0.946387	0	1	0	1	0	0	0
SRS TECHNOLOGIES	2007	132580855.8	14426316.23	0.108811	0	1	0	1	0	1	0
BRITISH TELECOMMUNICATIONS	2009	8253842.19	0	0	1	0	0	0	0	0	0
LITTON [NORTHROP GRUMMAN]	2009	695720.1	0	0	1	0	0	0	0	0	0
COLONNADE PROPERTIES	2004	116107.92	0	0	0	0	0	0	0	0	0
GLOBAL CONTAINER LINE	2009	4456985.21	-185954.79	-0.041722	0	1	1	0	0	0	0
COLONNADE PROPERTIES	2001	29000	0	0	0	0	0	0	0	0	0
IOWA STATE UNIVERSITY	2001	51885213	0	0	0	0	0	0	0	0	0
