TableName,AccountDSI,BudgetActivity,BudgetActivityTitle,BSA,BSAtitle,LineItem,LineItemTitle,CostType,CostTypeTitle,ProcurementCategory,Classified,FiscalYear,OriginType,PBtotal,PBtotal,PBtype,EnactedTotal,EnactedType,SpecialType,ActualTotal,QuantPBtotal,QuantPBtype,QuantEnactedTotal,QuantEnactedType,QuantSpecialType,QuantActualTotal
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0147,Joint Strike Fighter CV,A,Weapon System Cost,Aircraft,U,2015,Total,0,0,0,0,0,0,927568,0,0,0,0,0,4
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0147,Joint Strike Fighter CV,A,Weapon System Cost,Aircraft,U,2016,Base,0,0,0,0,1062542,0,0,0,0,0,6,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0147,Joint Strike Fighter CV,A,Weapon System Cost,Aircraft,U,2016,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0147,Joint Strike Fighter CV,A,Weapon System Cost,Aircraft,U,2016,Total,0,0,0,1062542,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0147,Joint Strike Fighter CV,A,Weapon System Cost,Aircraft,U,2017,Base,0,0,939280,0,0,0,0,0,4,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0147,Joint Strike Fighter CV,A,Weapon System Cost,Aircraft,U,2017,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0147,Joint Strike Fighter CV,A,Weapon System Cost,Aircraft,U,2017,Total,939280,939280,0,0,0,0,0,4,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0152,JSF STOVL,A,Weapon System Cost,Aircraft,U,2015,Total,0,0,0,0,0,0,1287605,0,0,0,0,0,6
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0152,JSF STOVL,A,Weapon System Cost,Aircraft,U,2016,Base,0,0,0,0,2291599,0,0,0,0,0,15,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0152,JSF STOVL,A,Weapon System Cost,Aircraft,U,2016,Total,0,0,0,2291599,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0152,JSF STOVL,A,Weapon System Cost,Aircraft,U,2016,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0152,JSF STOVL,A,Weapon System Cost,Aircraft,U,2017,OCO,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0152,JSF STOVL,A,Weapon System Cost,Aircraft,U,2017,Base,0,0,2240828,0,0,0,0,0,16,0,0,0,0
Linked to ProjectID,1506N,1,Combat Aircraft,1,Combat Aircraft,0152,JSF STOVL,A,Weapon System Cost,Aircraft,U,2017,Total,2240828,2240828,0,0,0,0,0,16,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,1999,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2000,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2000,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
