"Fiscal.Year","Pricing.Mechanism","ProductOrServiceArea","SubCustomer","Query_Run","Action.Obligation","SumOfnumberOfActions","SubCustomer.sum","SubCustomer.detail","SubCustomer.component","Subcustomer.Obsolete","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","Pricing.Mechanism.Code","Pricing.Mechanism.detail","Pricing.Mechanism.sum","Pricing.Mechanism.hypothesis","Pricing.Mechanism.Incentive","Pricing.Mechanism.Correlation","IsCostBased","IsFixedPrice","IsIncentive","Deflator.2013","Deflator.2012","Deflator.2011","Deflator.2005","Deflator.2014","Obligation.2013","Obligation.2014","LogOfAction.Obligation"
2000-09-30,"Firm Fixed Price","Unlabeled","Air Force","08:22.5",0,NA,"Air Force","Air Force","Air Force",FALSE,"Unlabeled","Unlabeled","Unlabeled","Unlabeled","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0,0,0
2000-09-30,"Cost No Fee","Electronics & Communications","Air Force","08:22.5",2628701,9,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","S","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0035788700028389,0.00356966458446496,6.41974119035326
2000-09-30,"Fixed Price with Economic Price Adjustment","Electronics & Communications","Air Force","08:22.5",1103308,13,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","K","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00150210918057709,0.00149824551873982,6.04269676722538
2000-09-30,"Labor Hours","Electronics & Communications","Air Force","08:22.5",110171956,138,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","Z","Time/Mat.","Time/Mat.","Other","FALSE","Other",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.149994658381645,0.149608848451928,8.0420710599928
2000-09-30,"Cost Plus Award Fee","Engines & Power Plants","Air Force","08:22.5",98771404,27,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Engines & Power Plants","Engines & Power Pl.","R","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.134473268322979,0.134127381857686,7.99463122715241
2000-09-30,"Cost Plus Award Fee","ERS","Air Force","08:22.5",469102477,125,"Air Force","Air Force","Air Force",FALSE,"ERS","Services (Non-R&D)","Services (Non-R&D)","Other Services","R","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.638664033373414,0.637021288701793,8.67126772615669
2000-09-30,"Cost Sharing","ERS","Air Force","08:22.5",0,4,"Air Force","Air Force","Air Force",FALSE,"ERS","Services (Non-R&D)","Services (Non-R&D)","Other Services","T","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0,0,0
2000-09-30,"Time and Materials","FRS&C","Air Force","08:22.5",18519676,121,"Air Force","Air Force","Air Force",FALSE,"FRS&C","Services (Non-R&D)","Services (Non-R&D)","FRS&C","Y","Time/Mat.","Time/Mat.","Other","FALSE","Other",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0252137892056554,0.0251489353612167,7.26763338447102
2000-09-30,"Cost Plus Award Fee","ICT","Air Force","08:22.5",181907338,100,"Air Force","Air Force","Air Force",FALSE,"ICT","Services (Non-R&D)","Services (Non-R&D)","ICT","R","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.247659477157911,0.247022457903313,8.25985021851719
2000-09-30,"Cost Plus Incentive","Aircraft","Air Force","08:22.5",171112650,36,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Aircraft","Aircraft","V","Cost (Plus Incentive)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.232962946410136,0.232363728951657,8.23328211720982
2000-09-30,"Fixed Price Award Fee","Aircraft","Air Force","08:22.5",26132362,5,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Aircraft","Aircraft","M","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",0,"Fixed Price",0,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0355781530364721,0.0354866404128191,7.41717866564794
2000-09-30,"Fixed Price Redetermination","Aircraft","Air Force","08:22.5",1361621,5,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Aircraft","Aircraft","A","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00185379187368039,0.00184902362846279,6.13405624082643
2000-09-30,"Cost Plus Incentive","Electronics & Communications","Air Force","08:22.5",35419917,42,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","V","Cost (Plus Incentive)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0482227832128278,0.0480987466051059,7.54924753916675
2000-09-30,"Firm Fixed Price","ERS","Air Force","08:22.5",1163441542,2592,"Air Force","Air Force","Air Force",FALSE,"ERS","Services (Non-R&D)","Services (Non-R&D)","Other Services","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,1.58397856383074,1.57990432102118,9.06574456671632
