"Fiscal.Year","Pricing.Mechanism","ProductOrServiceArea","SubCustomer","Query_Run","Action.Obligation","SumOfnumberOfActions","SubCustomer.sum","SubCustomer.detail","SubCustomer.component","Subcustomer.Obsolete","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","Pricing.Mechanism.Code","Pricing.Mechanism.detail","Pricing.Mechanism.sum","Pricing.Mechanism.hypothesis","Pricing.Mechanism.Incentive","Pricing.Mechanism.Correlation","IsCostBased","IsFixedPrice","IsIncentive","Deflator.2013","Deflator.2012","Deflator.2011","Deflator.2005","Deflator.2014","Obligation.2013","Obligation.2014","LogOfAction.Obligation"
2000-09-30,"Cost Plus Fixed Fee","Aircraft","Army","08:22.5",109410657,92,"Army","Army","Army",FALSE,"Products","Products (All)","Aircraft","Aircraft","U","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.148958180610193,0.148575036664856,8.03905962593599
2000-09-30,"Fixed Price Redetermination","Aircraft","Army","08:22.5",529567,10,"Army","Army","Army",FALSE,"Products","Products (All)","Aircraft","Aircraft","A","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.000720984033860598,0.000719129549158066,5.72392091418762
2000-09-30,"Cost Sharing","Electronics & Communications","Army","08:22.5",8e+05,1,"Army","Army","Army",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","T","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00108916761635162,0.00108636610537751,5.90308998699194
2000-09-30,"Cost Plus Award Fee","Engines & Power Plants","Army","08:22.5",15200000,1,"Army","Army","Army",FALSE,"Products","Products (All)","Engines & Power Plants","Engines & Power Pl.","R","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0206941847106808,0.0206409560021727,7.18184358794477
2000-09-30,"Firm Fixed Price","Engines & Power Plants","Army","08:22.5",624463676,958,"Army","Army","Army",FALSE,"Products","Products (All)","Engines & Power Plants","Engines & Power Pl.","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.850182016858863,0.847995214557306,8.7955071812665
2000-09-30,"Firm Fixed Price","ERS","Army","08:22.5",873982357.9,2397,"Army","Army","Army",FALSE,"ERS","Services (Non-R&D)","Services (Non-R&D)","Other Services","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,1.18989160185914,1.1868310129006,8.94150266610808
2000-09-30,"Cost No Fee","FRS&C","Army","08:22.5",70121531,202,"Army","Army","Army",FALSE,"FRS&C","Services (Non-R&D)","Services (Non-R&D)","FRS&C","S","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0954676259677453,0.0952220681694731,7.84585138970346
2000-09-30,"Labor Hours","FRS&C","Army","08:22.5",17462578,41,"Army","Army","Army",FALSE,"FRS&C","Services (Non-R&D)","Services (Non-R&D)","FRS&C","Z","Time/Mat.","Time/Mat.","Other","FALSE","Other",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0237745930695178,0.0237134410646388,7.24210835898732
2000-09-30,"Not Reported","FRS&C","Army","08:22.5",91829189,359,"Army","Army","Army",FALSE,"FRS&C","Services (Non-R&D)","Services (Non-R&D)","FRS&C","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.125021723618291,0.124700148017382,7.96298074881248
2000-09-30,"Cost No Fee","Ground Vehicles","Army","08:22.5",20667984,10,"Army","Army","Army",FALSE,"Products","Products (All)","Ground Vehicles","Ground Vehicles","S","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0281386235850918,0.0280662466051059,7.3152981166672
