"Fiscal.Year","Pricing.Mechanism","ProductOrServiceArea","SubCustomer","Query_Run","Action.Obligation","SumOfnumberOfActions","SubCustomer.sum","SubCustomer.detail","SubCustomer.component","Subcustomer.Obsolete","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","Pricing.Mechanism.Code","Pricing.Mechanism.detail","Pricing.Mechanism.sum","Pricing.Mechanism.hypothesis","Pricing.Mechanism.Incentive","Pricing.Mechanism.Correlation","IsCostBased","IsFixedPrice","IsIncentive","Deflator.2013","Deflator.2012","Deflator.2011","Deflator.2005","Deflator.2014","Obligation.2013","Obligation.2014","LogOfAction.Obligation"
2000-09-30,"Not Reported","FRS&C","MDA","08:22.5",49921,1,"Other DoD","Other DoD","MDA",FALSE,"FRS&C","Services (Non-R&D)","Services (Non-R&D)","FRS&C","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,6.79654207198616e-05,6.77906029331885e-05,4.69828327639656
2000-09-30,"Firm Fixed Price","R&D","MDA","08:22.5",4192564,12,"Other DoD","Other DoD","MDA",FALSE,"R&D","R&D","R&D","Other Services","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00570800617285202,0.00569332428028245,6.62247970088688
2000-09-30,"Not Reported","ICT","MDA","08:22.5",5124038,10,"Other DoD","Other DoD","MDA",FALSE,"ICT","Services (Non-R&D)","Services (Non-R&D)","ICT","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00697617031819391,0.00695822650733297,6.70961234182384
2000-09-30,"Fixed Price Redetermination","R&D","MDA","08:22.5",12977500,2,"Other DoD","Other DoD","MDA",FALSE,"R&D","R&D","R&D","Other Services","A","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0176683409265039,0.0176228951656708,7.11319103755089
2000-09-30,"Cost Sharing","R&D","MDA","08:22.5",610970,3,"Other DoD","Other DoD","MDA",FALSE,"R&D","R&D","R&D","Other Services","T","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.000831810923202937,0.000829671374253123,5.78601988593106
2000-09-30,"Not Reported","PAMS","MDA","08:22.5",750332,8,"Other DoD","Other DoD","MDA",FALSE,"PAMS","Services (Non-R&D)","Services","PAMS","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00102154664489043,0.00101891906572515,5.87525346854409
2000-09-30,"Cost Plus Fixed Fee","R&D","MDA","08:22.5",187062448,192,"Other DoD","Other DoD","MDA",FALSE,"R&D","R&D","R&D","Other Services","U","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.254677950746324,0.254022878870179,8.27198661345822
2000-09-30,"Cost No Fee","R&D","MDA","08:22.5",5987295,9,"Other DoD","Other DoD","MDA",FALSE,"R&D","R&D","R&D","Other Services","S","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00815145977942997,0.00813049293862031,6.77723065679541
2000-09-30,"Cost Plus Award Fee","R&D","MDA","08:22.5",1157152471,174,"Other DoD","Other DoD","MDA",FALSE,"R&D","R&D","R&D","Other Services","R","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,1.57541624824307,1.57136402906029,9.06339058708592
2001-09-30,"Not Reported","PAMS","MDA","08:22.5",3205377,27,"Other DoD","Other DoD","MDA",FALSE,"PAMS","Services (Non-R&D)","Services","PAMS","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.753098827,0.768284347,0.7860827,0.8992,0.756,0.00425625015612991,0.00423991666666667,6.50587911634807
2000-09-30,"Not Reported","Electronics & Communications","MDA","08:22.5",407995,3,"Other DoD","Other DoD","MDA",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.000555468677041724,0.000554039923954373,5.61065484082097
2000-09-30,"Firm Fixed Price","ICT","MDA","08:22.5",350175,3,"Other DoD","Other DoD","MDA",FALSE,"ICT","Services (Non-R&D)","Services (Non-R&D)","ICT","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.000476749087569911,0.000475522813688213,5.54428513732251
2001-09-30,"Not Reported","FRS&C","MDA","08:22.5",32900,1,"Other DoD","Other DoD","MDA",FALSE,"FRS&C","Services (Non-R&D)","Services (Non-R&D)","FRS&C","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.753098827,0.768284347,0.7860827,0.8992,0.756,4.36861655077309e-05,4.35185185185185e-05,4.51719589794997
2001-09-30,"Firm Fixed Price","ICT","MDA","08:22.5",358233,2,"Other DoD","Other DoD","MDA",FALSE,"ICT","Services (Non-R&D)","Services (Non-R&D)","ICT","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.753098827,0.768284347,0.7860827,0.8992,0.756,0.000475678605724345,0.000473853174603175,5.55416559004951
2001-09-30,"Firm Fixed Price","PAMS","MDA","08:22.5",134022,2,"Other DoD","Other DoD","MDA",FALSE,"PAMS","Services (Non-R&D)","Services","PAMS","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.753098827,0.768284347,0.7860827,0.8992,0.756,0.000177960707406599,0.000177277777777778,5.12717609459141
2001-09-30,"Cost Plus Award Fee","PAMS","MDA","08:22.5",4968922,19,"Other DoD","Other DoD","MDA",FALSE,"PAMS","Services (Non-R&D)","Services","PAMS","R","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.753098827,0.768284347,0.7860827,0.8992,0.756,0.00659796805127676,0.00657264814814815,6.69626217943109
2001-09-30,"Time and Materials","R&D","MDA","08:22.5",160000,1,"Other DoD","Other DoD","MDA",FALSE,"R&D","R&D","R&D","Other Services","Y","Time/Mat.","Time/Mat.","Other","FALSE","Other",1,"Other",1,0.753098827,0.768284347,0.7860827,0.8992,0.756,0.00021245551614702,0.000211640211640212,5.20411998265593
2001-09-30,"Not Reported","Electronics & Communications","MDA","08:22.5",469873,5,"Other DoD","Other DoD","MDA",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.753098827,0.768284347,0.7860827,0.8992,0.756,0.000623919442115928,0.000621525132275132,5.67198049016467
2001-09-30,"Cost Plus Award Fee","R&D","MDA","08:22.5",1353727468,54,"Other DoD","Other DoD","MDA",FALSE,"R&D","R&D","R&D","Other Services","R","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.753098827,0.768284347,0.7860827,0.8992,0.756,1.79754292460211,1.7906447989418,9.13153124111651
2001-09-30,"Firm Fixed Price","R&D","MDA","08:22.5",7007606,20,"Other DoD","Other DoD","MDA",FALSE,"R&D","R&D","R&D","Other Services","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.753098827,0.768284347,0.7860827,0.8992,0.756,0.00930502843553095,0.00926932010582011,6.84556967580327
2001-09-30,"Cost Plus Fixed Fee","R&D","MDA","08:22.5",174832459,165,"Other DoD","Other DoD","MDA",FALSE,"R&D","R&D","R&D","Other Services","U","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.753098827,0.768284347,0.7860827,0.8992,0.756,0.23215075197561,0.231259866402116,8.24262206591807
